data.actor/entropy,data.actor/grad_norm,data.actor/lr,data.actor/pg_clipfrac,data.actor/pg_clipfrac_lower,data.actor/pg_loss,data.actor/ppo_kl,data.critic/advantages/max,data.critic/advantages/mean,data.critic/advantages/min,data.critic/returns/max,data.critic/returns/mean,data.critic/returns/min,data.critic/rewards/max,data.critic/rewards/mean,data.critic/rewards/min,data.critic/score/max,data.critic/score/mean,data.critic/score/min,data.global_seqlen/balanced_max,data.global_seqlen/balanced_min,data.global_seqlen/max,data.global_seqlen/mean,data.global_seqlen/min,data.global_seqlen/minmax_diff,data.logging/granularity,data.logging/phase,data.logging/wall_time,data.perf/cpu_memory_used_gb,data.perf/max_memory_allocated_gb,data.perf/max_memory_reserved_gb,data.perf/mfu/actor,data.perf/throughput,data.perf/time_per_step,data.perf/total_num_tokens,data.prompt_length/clip_ratio,data.prompt_length/max,data.prompt_length/mean,data.prompt_length/min,data.response/aborted_ratio,data.response_length/clip_ratio,data.response_length/max,data.response_length/mean,data.response_length/min,data.response_length_non_aborted/clip_ratio,data.response_length_non_aborted/max,data.response_length_non_aborted/mean,data.response_length_non_aborted/min,data.timing_per_token_ms/adv,data.timing_per_token_ms/gen,data.timing_per_token_ms/update_actor,data.timing_s/adv,data.timing_s/gen,data.timing_s/generate_sequences,data.timing_s/generation_timing/max,data.timing_s/generation_timing/min,data.timing_s/generation_timing/topk_ratio,data.timing_s/old_log_prob,data.timing_s/reward,data.timing_s/start_profile,data.timing_s/step,data.timing_s/stop_profile,data.timing_s/testing,data.timing_s/update_actor,data.training/epoch,data.training/global_step,data.val-core/openai/gsm8k/reward/mean@1,step
0.3148908019065857,0.9951171875,1e-06,0.0006623887020396069,0.0,1.590390456840396e-05,0.0004634378980767906,1.4999970197677612,-0.014387303031980991,-1.4999970197677612,1.4999970197677612,-0.014387303031980991,-1.4999970197677612,1.0,0.21875,0.0,1.0,0.21875,0.0,11079,11079,11370,11079.0,10788,582,operation,training,1770940452.4180515,40.568031311035156,37.72461175918579,41.982421875,0.06280635136758594,613.5261146295275,18.057911042124033,22158,0.0,160.0,112.5625,86.0,0.0,0.578125,256.0,233.65625,128.0,0.578125,256.0,233.65625,128.0,0.00010634225992661907,0.33295747419323246,0.5285412814393835,0.0023563317954540253,4.979046069085598,2.2424168586730957,2.2702202796936035,2.214613437652588,0.5,1.34046751819551,0.01282814983278513,0.00021230988204479218,18.057911042124033,4.5110005885362625e-05,33.60668977163732,11.711417714133859,0,1,0.2805155420773313,1
0.29072558879852295,1.93359375,1e-06,0.00019825424533337355,0.0,-3.247830318287015e-05,0.0002905848664340738,1.4999970197677612,-0.00788149330765009,-0.8660238981246948,1.4999970197677612,-0.00788149330765009,-0.8660238981246948,1.0,0.3125,0.0,1.0,0.3125,0.0,10957,10956,11108,10956.5,10805,303,operation,training,1770940470.014076,40.6098518371582,37.72461175918579,41.982421875,0.06541108729716186,622.8166401651862,17.591854959260672,21913,0.0,170.0,110.25,74.0,0.0,0.578125,256.0,232.140625,109.0,0.578125,256.0,232.140625,109.0,7.828279863214229e-05,0.3495077292458754,0.5073875281224506,0.0017154109664261341,5.1926363334059715,2.124786376953125,2.1436119079589844,2.1059606075286865,0.5,1.256829311605543,0.011781949084252119,3.829970955848694e-05,17.591854959260672,4.348019137978554e-05,32.6820445288904,11.11838290374726,0,2,0.2880970432145565,2
0.3238307237625122,2.140625,1e-06,0.0013439729227684438,0.0,7.396040018647909e-06,-0.00018892441316609165,1.4999970197677612,-0.022664129734039307,-1.4999970197677612,1.4999970197677612,-0.022664129734039307,-1.4999970197677612,1.0,0.390625,0.0,1.0,0.390625,0.0,10444,10443,10846,10443.5,10041,805,operation,training,1770940489.2407985,40.61962127685547,37.72461175918579,41.982421875,0.06185373108478971,543.2850547848228,19.22287371614948,20887,0.0,141.0,98.375,81.0,0.0,0.5,256.0,227.984375,117.0,0.5,256.0,227.984375,117.0,7.684017645854414e-05,0.4626071923676952,0.5361964089551869,0.0016049607656896114,6.749901543837041,2.108337879180908,2.1195333003997803,2.097142219543457,0.5,1.2505943798460066,0.01126467902213335,4.106992855668068e-05,19.22287371614948,4.2430125176906586e-05,32.785385051276535,11.199534393846989,0,3,0.287338893100834,3
0.3275514841079712,1.59765625,1e-06,0.0006513896660180762,0.0,1.0471558198332787e-07,-0.00013379884225628302,1.4999970197677612,-0.024759434163570404,-1.4999970197677612,1.4999970197677612,-0.024759434163570404,-1.4999970197677612,1.0,0.265625,0.0,1.0,0.265625,0.0,11088,11088,11203,11088.0,10973,230,operation,training,1770940506.915661,40.62183380126953,37.72461175918579,41.982421875,0.06525034460729612,627.4192810391272,17.67239282419905,22176,0.0,184.0,109.5,77.0,0.0,0.609375,256.0,237.0,138.0,0.609375,256.0,237.0,138.0,7.014210026141411e-05,0.3366253957609677,0.5087447931004276,0.0015554712153971195,5.105934002902359,2.1197476387023926,2.1202409267425537,2.1192545890808105,0.5,1.261670052073896,0.011263319291174412,3.284960985183716e-05,17.67239282419905,4.144012928009033e-05,32.73960682703182,11.281924531795084,0,4,0.30932524639878695,4
0.27877774834632874,1.38232421875,1e-06,0.0005344149321899749,0.0,5.576293915510178e-06,-7.880852126618265e-05,1.4999970197677612,0.002682560356333852,-1.4999970197677612,1.4999970197677612,0.002682560356333852,-1.4999970197677612,1.0,0.21875,0.0,1.0,0.21875,0.0,10850,10838,10976,10844.0,10712,264,operation,training,1770940524.5395792,40.63197326660156,37.72461175918579,41.982421875,0.06362728766848327,615.4328370306497,17.620119284372777,21688,0.0,140.0,99.4375,76.0,0.0,0.59375,256.0,239.4375,134.0,0.59375,256.0,239.4375,134.0,7.907191891950112e-05,0.3278207879744935,0.521469533622776,0.0017149117775261402,5.023525754921138,2.1095118522644043,2.114542007446289,2.1044819355010986,0.5,1.2644063159823418,0.011149188969284296,3.8139987736940384e-05,17.620119284372777,4.253024235367775e-05,32.825754896737635,11.309631245210767,0,5,0.29946929492039426,5
0.2698107361793518,1.91015625,1e-06,0.0006608281910303049,0.0,-4.502246156334877e-06,3.576135213734233e-06,1.4999970197677612,-0.04230193421244621,-1.4999970197677612,1.4999970197677612,-0.04230193421244621,-1.4999970197677612,1.0,0.28125,0.0,1.0,0.28125,0.0,10622,10621,10641,10621.5,10602,39,operation,training,1770940542.6259239,40.63779067993164,37.72461175918579,41.982421875,0.06322946455403901,587.347885013311,18.083831185940653,21243,0.0,170.0,99.3125,76.0,0.0,0.59375,256.0,232.609375,128.0,0.59375,256.0,232.609375,128.0,6.898843323320777e-05,0.3799687488396313,0.5246762024777165,0.0014655212871730328,5.6565947639755905,2.1145243644714355,2.127326488494873,2.101722240447998,0.5,1.2587898941710591,0.011716139037162066,3.388989716768265e-05,18.083831185940653,6.397999823093414e-05,32.585877371020615,11.145696569234133,0,6,0.3062926459438969,6
0.2963424623012543,1.701171875,1e-06,0.0007606802901136689,0.0,-2.7308124117553234e-06,3.545463300724805e-06,1.4999970197677612,-0.02752896212041378,-1.4999970197677612,1.4999970197677612,-0.02752896212041378,-1.4999970197677612,1.0,0.296875,0.0,1.0,0.296875,0.0,10894,10894,11401,10894.0,10387,1014,operation,training,1770940560.5488834,40.64936828613281,37.72461175918579,41.982421875,0.06560614169261736,607.915894139623,17.920242100954056,21788,0.0,183.0,104.0625,79.0,0.0,0.578125,256.0,236.375,121.0,0.578125,256.0,236.375,121.0,6.827755419293609e-05,0.3709676280265082,0.5058971125008793,0.0014876313507556915,5.611998276785016,2.1135621070861816,2.123823881149292,2.1033005714416504,0.5,1.2630830090492964,0.011625970248132944,3.4409575164318085e-05,17.920242100954056,4.0350016206502914e-05,32.630082258954644,11.022486287169158,0,7,0.312357846853677,7
0.32341018319129944,1.912109375,1e-06,0.0006961496692383662,0.0,2.0124425645917654e-05,-7.613171328557655e-05,1.4999970197677612,-0.016831789165735245,-1.4999970197677612,1.4999970197677612,-0.016831789165735245,-1.4999970197677612,1.0,0.234375,0.0,1.0,0.234375,0.0,11328,11327,11524,11327.5,11131,393,operation,training,1770940578.0028217,40.65044593811035,37.72461175918579,41.982421875,0.06802935997634206,649.0880045757234,17.451408622786403,22655,0.0,149.0,112.0,78.0,0.0,0.6875,256.0,241.984375,170.0,0.6875,256.0,241.984375,170.0,7.392987000497596e-05,0.32966617408707133,0.4881312515684454,0.0016748812049627304,5.105540038086474,2.1209716796875,2.131202459335327,2.110740900039673,0.5,1.2640068321488798,0.011414910200983286,3.390992060303688e-05,17.451408622786403,4.2269937694072723e-05,32.715075181331486,11.05861350428313,0,8,0.3161485974222896,8
0.28570809960365295,1.466796875,1e-06,0.0005574759998125955,0.0,-1.498096389696002e-05,0.00020535406537192102,1.4999970197677612,-3.17581434501335e-05,-1.4999970197677612,1.4999970197677612,-3.17581434501335e-05,-1.4999970197677612,1.0,0.5,0.0,1.0,0.5,0.0,10412,10411,10689,10411.5,10134,555,operation,training,1770940595.9078166,40.65799331665039,37.72461175918579,41.982421875,0.059819159606486254,581.8359387553264,17.89421949815005,20823,0.0,202.0,103.9375,73.0,0.0,0.453125,256.0,221.421875,106.0,0.453125,256.0,221.421875,106.0,7.193589147679636e-05,0.3557856391901632,0.554602816409324,0.0014979210682213306,5.041838292963803,2.088357925415039,2.0906007289886475,2.0861148834228516,0.5,1.281144487671554,0.011438770219683647,0.00011268025264143944,17.89421949815005,4.12999652326107e-05,33.16158908000216,11.548494446091354,0,9,0.3214556482183472,9
0.32008475065231323,1.814453125,1e-06,0.000628566529485397,0.0,1.4037068467587233e-05,-9.056602903001476e-05,1.4999970197677612,-0.005077401641756296,-1.4999970197677612,1.4999970197677612,-0.005077401641756296,-1.4999970197677612,1.0,0.34375,0.0,1.0,0.34375,0.0,10511,10511,11100,10511.0,9922,1178,operation,training,1770940613.8577285,40.663883209228516,37.72461175918579,41.982421875,0.06031542315987446,585.6649070788524,17.94712278805673,21022,0.0,144.0,102.6875,78.0,0.0,0.546875,256.0,225.78125,104.0,0.546875,256.0,225.78125,104.0,6.909383918610504e-05,0.35263126477547585,0.5500929205913294,0.0014524906873703003,5.095521776005626,2.098850727081299,2.1208200454711914,2.0768816471099854,0.5,1.265298287384212,0.011161549016833305,3.605009987950325e-05,17.94712278805673,4.315981641411781e-05,32.65171999996528,11.564053376670927,0,10,0.31387414708112205,10
