data.actor/entropy,data.actor/grad_norm,data.actor/lr,data.actor/pg_clipfrac,data.actor/pg_clipfrac_lower,data.actor/pg_loss,data.actor/ppo_kl,data.critic/advantages/max,data.critic/advantages/mean,data.critic/advantages/min,data.critic/grad_norm,data.critic/lr,data.critic/returns/max,data.critic/returns/mean,data.critic/returns/min,data.critic/rewards/max,data.critic/rewards/mean,data.critic/rewards/min,data.critic/score/max,data.critic/score/mean,data.critic/score/min,data.critic/values/max,data.critic/values/mean,data.critic/values/min,data.critic/vf_clipfrac,data.critic/vf_explained_var,data.critic/vf_loss,data.critic/vpred_mean,data.global_seqlen/balanced_max,data.global_seqlen/balanced_min,data.global_seqlen/max,data.global_seqlen/mean,data.global_seqlen/min,data.global_seqlen/minmax_diff,data.logging/granularity,data.logging/phase,data.logging/wall_time,data.perf/cpu_memory_used_gb,data.perf/max_memory_allocated_gb,data.perf/max_memory_reserved_gb,data.perf/mfu/actor,data.perf/mfu/critic,data.perf/throughput,data.perf/time_per_step,data.perf/total_num_tokens,data.prompt_length/clip_ratio,data.prompt_length/max,data.prompt_length/mean,data.prompt_length/min,data.response/aborted_ratio,data.response_length/clip_ratio,data.response_length/max,data.response_length/mean,data.response_length/min,data.response_length_non_aborted/clip_ratio,data.response_length_non_aborted/max,data.response_length_non_aborted/mean,data.response_length_non_aborted/min,data.timing_per_token_ms/adv,data.timing_per_token_ms/gen,data.timing_per_token_ms/update_actor,data.timing_per_token_ms/update_critic,data.timing_per_token_ms/values,data.timing_s/adv,data.timing_s/gen,data.timing_s/generate_sequences,data.timing_s/generation_timing/max,data.timing_s/generation_timing/min,data.timing_s/generation_timing/topk_ratio,data.timing_s/old_log_prob,data.timing_s/reward,data.timing_s/start_profile,data.timing_s/step,data.timing_s/stop_profile,data.timing_s/testing,data.timing_s/update_actor,data.timing_s/update_critic,data.timing_s/values,data.training/epoch,data.training/global_step,data.val-core/openai/gsm8k/reward/mean@1,step
0.31757619976997375,4.6796875,1e-06,0.0023547247983515263,0.0,-0.004539411449513864,0.00042539476973502133,3.904604911804199,-1.2256429648971334e-08,-3.807129144668579,844.0,1e-05,1.0,0.25223687291145325,0.0,1.0,0.3125,0.0,1.0,0.3125,0.0,10.0625,0.47265625,-9.875,0.1616168962791562,-34.4328727722168,1.140910264570266,1.1952594940084964,9849,9849,9868,9849.0,9830,38,operation,training,1770860707.9057875,41.68564987182617,83.09880876541138,101.2890625,0.07223473139678924,0.08058525261700138,181.11157046404745,54.38084366871044,19698,0.0,163.0,115.6875,91.0,0.0,0.265625,256.0,192.09375,90.0,0.265625,256.0,192.09375,90.0,0.0011190607616539255,0.5960146815787103,1.081976810692818,0.9690618921140888,0.20220905361007357,0.022043258883059025,7.327404495328665,3.7123451232910156,3.726897716522217,3.6977925300598145,0.5,2.6204059720039368,0.012732503935694695,0.0002116202376782894,54.38084366871044,5.3729861974716187e-05,49.242646149825305,21.312779217027128,19.08858115086332,3.983113938011229,0,1,0.5269143290371494,1
0.3357442021369934,4.8046875,1e-06,0.0006404361192835495,0.0,-0.0020366086846479448,0.0002872939770668381,3.7557337284088135,5.571372696522303e-08,-3.478604316711426,195.703125,1e-05,1.0,0.47002339363098145,0.0,1.0,0.53125,0.0,1.0,0.53125,0.0,4.53125,-1.625,-8.75,0.5060481801629066,-12.338242530822754,0.4036133454646915,-0.7149186164606363,9805,9804,9973,9804.5,9636,337,operation,training,1770860763.6971295,41.716880798339844,83.09880876541138,101.2890625,0.07313778561606185,0.08078310774413969,175.7613781912653,55.78301729820669,19609,0.0,167.0,112.75,79.0,0.0,0.21875,256.0,193.640625,94.0,0.21875,256.0,193.640625,94.0,0.0010411872444570358,0.7574498418721282,1.0674353351030879,0.966411731668716,0.20045777290753247,0.020416640676558018,9.387075890321285,3.6675610542297363,3.6807854175567627,3.654336929321289,0.5,2.5394162791781127,0.012037463951855898,8.89897346496582e-05,55.78301729820669,4.0850136429071426e-05,48.96938378736377,20.93133948603645,18.950367646291852,3.9307764689438045,0,2,0.5329795299469295,2
0.44592413306236267,4.90234375,1e-06,0.0010352704339311458,0.0,-0.0038958820969128283,9.80021088707872e-05,4.604323863983154,7.893117270896255e-09,-3.7963178157806396,110.4375,1e-05,1.0,0.41877636313438416,0.0,1.0,0.46875,0.0,1.0,0.46875,0.0,3.375,-0.78125,-6.125,0.4516687944997102,-4.640501499176025,0.1392566440626979,-0.10937362787444727,9436,9436,9483,9436.0,9389,94,operation,training,1770860819.8601966,41.74394226074219,83.09880876541138,101.2890625,0.0698581040471059,0.07762897186451384,168.02024695244916,56.159898411948234,18872,0.0,141.0,102.3125,87.0,0.0,0.1875,256.0,192.5625,85.0,0.1875,256.0,192.5625,85.0,0.0009908542315735813,0.7731043123807885,1.1170978811427386,1.005367395205912,0.21062900175349553,0.018699401058256626,9.527737545780838,3.6704936027526855,3.6988637447357178,3.642123222351074,0.5,2.5603979299776256,0.011481114197522402,3.279000520706177e-05,56.159898411948234,4.0560029447078705e-05,48.924985953141004,21.081871212925762,18.97329348232597,3.974990521091968,0,3,0.5367702805155421,3
0.3371402323246002,4.48046875,1e-06,0.00048060288099804893,0.0,-0.00696180970817295,-0.00041734384933533875,7.434872150421143,-2.823940192797636e-08,-3.4891910552978516,83.375,1e-05,1.0,0.508532702922821,0.0,1.0,0.5625,0.0,1.0,0.5625,0.0,3.484375,0.028076171875,-7.5625,0.160400269262027,-3.727527141571045,0.07900529442122206,0.2959287314733956,10033,10032,10340,10032.5,9725,615,operation,training,1770860874.2663043,41.79486846923828,83.09880876541138,101.2890625,0.07475303786758575,0.08251139210749042,184.41271924520177,54.40242972970009,20065,0.0,187.0,113.0,81.0,0.0,0.234375,256.0,200.515625,98.0,0.234375,256.0,200.515625,98.0,0.0009184894693884028,0.6098869639277332,1.0446188815444923,0.9464323786387873,0.20012919991324735,0.018429491203278303,7.826679408084601,3.70902681350708,3.7309112548828125,3.6871426105499268,0.5,2.5682113002985716,0.011635004077106714,3.140978515148163e-05,54.40242972970009,4.0149781852960587e-05,48.899556959979236,20.96027785819024,18.990165677387267,4.015592396259308,0,4,0.5398028809704322,4
0.3468475043773651,4.4140625,1e-06,0.0003325720244902186,0.0,-0.005836640848428942,-0.0003749175699567786,4.983509540557861,1.2578343921987312e-09,-3.7682855129241943,59.40625,1e-05,1.0,0.4167834520339966,0.0,1.0,0.46875,0.0,1.0,0.46875,0.0,3.53125,0.443359375,-3.71875,0.015076504329044838,-2.558993339538574,0.0473154479986988,0.4082952332973946,9336,9335,9443,9335.5,9228,215,operation,training,1770860928.3945148,41.788352966308594,83.09880876541138,101.2890625,0.06745808231449252,0.07667588607849142,172.49647633255145,54.11994609097019,18671,0.0,143.0,102.1875,81.0,0.0,0.21875,256.0,189.546875,122.0,0.21875,256.0,189.546875,122.0,0.0009733946267384733,0.5714932046112067,1.1566178163378964,1.0176127642374357,0.21406648990127375,0.018174251075834036,6.932784065138549,3.6336121559143066,3.644507884979248,3.6227166652679443,0.5,2.5553286420181394,0.011112784966826439,4.0980055928230286e-05,54.11994609097019,4.3460167944431305e-05,48.6902662711218,21.595211248844862,18.999847921077162,3.996835432946682,0,5,0.5360121304018196,5
0.26492705941200256,4.01953125,1e-06,0.001205648761242628,0.0,-0.0074809195575653575,0.0003122717770338568,5.170906066894531,-5.036869143992817e-09,-4.644106388092041,106.0625,1e-05,1.0,0.4818127751350403,0.0,1.0,0.53125,0.0,1.0,0.53125,0.0,3.8125,0.5390625,-4.125,0.09192668912874069,-1.6191864013671875,0.05181134140002541,0.9059869528282434,9160,9159,9176,9159.5,9143,33,operation,training,1770860983.4907622,41.80136489868164,83.09880876541138,101.2890625,0.06838103803184584,0.0754890169986014,166.2556524022965,55.092863717116416,18319,0.0,171.0,102.8125,80.0,0.0,0.203125,256.0,183.421875,89.0,0.203125,256.0,183.421875,89.0,0.0009975932754880835,0.7316543955020451,1.1409996137662732,1.0335115457649227,0.22169869537798526,0.0182749112136662,8.588890948798507,3.6536808013916016,3.694439172744751,3.612922191619873,0.5,2.5657831337302923,0.011292414274066687,4.060985520482063e-05,55.092863717116416,4.5200344175100327e-05,48.70256541995332,20.90197192458436,18.932898006867617,4.061298400629312,0,6,0.5329795299469295,6
0.3465924859046936,4.81640625,1e-06,0.0005339500567060895,0.0,-0.003364871154190041,-1.940152429824593e-05,3.7286295890808105,-2.6012776377370983e-09,-4.36095666885376,102.46875,1e-05,1.0,0.39518651366233826,0.0,1.0,0.4375,0.0,1.0,0.4375,0.0,3.734375,0.482421875,-2.9375,0.13719381040573353,-1.9260833263397217,0.04977821372449398,0.09151558317535091,9623,9622,10190,9622.5,9055,1135,operation,training,1770861036.7248356,41.80481719970703,83.09880876541138,101.2890625,0.07165350880999116,0.07996382619965868,180.76952837520207,53.23076342837885,19245,0.0,174.0,105.9375,82.0,0.0,0.21875,256.0,194.765625,77.0,0.21875,256.0,194.765625,77.0,0.0009262536295004156,0.5524253679272811,1.0893090152142728,0.976095823742881,0.20650241288791293,0.0178257510997355,6.885982211213559,3.660696029663086,3.6838293075561523,3.6375625133514404,0.5,2.5790711757726967,0.013668423052877188,3.664987161755562e-05,53.23076342837885,4.616007208824158e-05,48.86720696510747,20.96375199779868,18.784964127931744,3.9741389360278845,0,7,0.5299469294920395,7
0.34189093112945557,4.0,1e-06,0.0005331646098056808,0.0,-0.01030477858876111,0.00036085730113200043,4.433428764343262,2.6387114715475946e-09,-3.5097858905792236,149.8125,1e-05,1.0,0.39389747381210327,0.0,1.0,0.453125,0.0,1.0,0.453125,0.0,2.921875,0.484375,-3.328125,0.09050339098030236,-1.4902260303497314,0.061417983190040104,0.9197932635433972,10202,10201,10488,10201.5,9915,573,operation,training,1770861092.0396283,41.81368637084961,83.09880876541138,101.2890625,0.0760286602385117,0.0842901724280778,184.44184088533964,55.310118089430034,20403,0.0,150.0,115.5,82.0,0.0,0.34375,256.0,203.296875,124.0,0.34375,256.0,203.296875,124.0,0.0008907979691588913,0.6793463055006332,1.0271203528987625,0.9264151626622809,0.1961241354772824,0.01817495096474886,8.838974780868739,3.696181297302246,3.729750871658325,3.662611722946167,0.5,2.570493489038199,0.01179102435708046,3.837980329990387e-05,55.310118089430034,4.264991730451584e-05,48.55433921562508,20.95633656019345,18.901648563798517,4.001520736142993,0,8,0.533737680060652,8
0.35709255933761597,4.6640625,1e-06,0.0004288552518119104,0.0,-0.011848211026517674,-0.00010076675664549839,5.118194103240967,2.8693520448541676e-08,-4.762906551361084,49.765625,1e-05,1.0,0.4875982403755188,0.0,1.0,0.546875,0.0,1.0,0.546875,0.0,3.1875,0.337890625,-2.734375,0.02163330456824042,-0.9638524055480957,0.028855255935923196,0.43440151304821484,9161,9161,9511,9161.0,8811,700,operation,training,1770861146.8551486,41.77666473388672,83.09880876541138,101.2890625,0.06878657119749076,0.07589233059195485,167.1462113179555,54.80830183206126,18322,0.0,203.0,107.375,79.0,0.0,0.171875,256.0,178.90625,87.0,0.171875,256.0,178.90625,87.0,0.0009764316120209255,0.7522342253606522,1.1342883273670847,1.0281777987200733,0.21696287601651057,0.017890179995447397,8.613081880379468,3.6090307235717773,3.634430170059204,3.5836315155029297,0.5,2.5583453867584467,0.011483034119009972,4.20701690018177e-05,54.80830183206126,4.0129758417606354e-05,48.69882399495691,20.782430734019727,18.83827362814918,3.9751938143745065,0,9,0.5413191811978771,9
0.3234814703464508,4.14453125,1e-06,0.0005876412615180016,0.0,-0.00935755627870094,3.6386275738209406e-05,7.728466033935547,-1.656581716247274e-08,-3.4564402103424072,63.046875,1e-05,1.0,0.47003984451293945,0.0,1.0,0.515625,0.0,1.0,0.515625,0.0,2.875,0.66015625,-3.375,0.0255193487246288,-0.4016069173812866,0.02611661700939294,0.41461546951904893,9679,9679,10258,9679.0,9100,1158,operation,training,1770861200.9307199,41.78671646118164,83.09880876541138,101.2890625,0.07211887899542502,0.07983008506458279,179.00804659052068,54.070195079781115,19358,0.0,147.0,106.375,84.0,0.0,0.1875,256.0,196.09375,101.0,0.1875,256.0,196.09375,101.0,0.0009533046355165225,0.6051432394396618,1.0822767359614973,0.9777034204534055,0.20599024612212158,0.018454071134328842,7.594547654967755,3.653808116912842,3.6944148540496826,3.613201141357422,0.5,2.5639419448561966,0.012047993950545788,8.807005360722542e-05,54.070195079781115,4.2969826608896255e-05,48.636300989892334,20.950713054742664,18.926382813137025,3.9875591844320297,0,10,0.5443517816527672,10
